0,1,2,3,4,5,6,7,8,9,10,11,12,label
-119.2176,124.33833,-22.83879,42.07474,-7.011255,19.98726,-16.026869,17.88481,-12.553806,12.362547,-9.089807,8.994223,-5.61132,blues
-231.11064,117.29235,13.84436,40.62557,6.7193246,23.11482,-7.070031,25.749584,-7.358057,11.780967,-1.463972,10.752818,-1.1920762,blues
-106.7147,138.27286,-25.117392,33.036263,-17.002466,25.98406,-14.420881,9.424596,-12.161647,6.0122247,-13.856017,4.925122,-9.078103,blues
-225.12614,160.49052,5.700141,26.851997,8.370367,9.451518,2.127471,10.046882,2.3898869,9.063893,3.2873538,3.3380752,-2.649507,blues
-148.09901,115.34616,-34.79279,25.507706,-34.92493,15.149554,-23.471218,1.4458364,-15.869086,2.962356,-16.01125,-2.5852525,-3.4624178,blues
-229.35312,167.61017,-15.751876,29.80468,-20.245447,10.0826,-23.879662,3.1205738,-8.801258,1.9148645,-12.815142,-2.7379575,-11.864601,blues
-199.22125,117.65457,-35.032608,37.277363,4.3004003,4.2504344,-20.462719,-1.370466,-8.755698,-8.7822895,-10.417708,0.3986952,-7.3050313,blues
-197.26506,141.80556,-28.494656,38.58864,-1.1606324,22.170084,-25.456697,19.499502,-14.155072,-0.37847096,-6.4383416,-5.3667645,-3.06923,blues
-115.32984,122.498665,-16.032309,46.337612,-7.4948444,21.61505,-22.709715,22.247107,-12.587498,22.340092,-5.8312593,6.775388,-14.640139,blues
-220.19775,110.394966,-9.883644,42.851246,-21.978897,20.136597,-12.591114,11.2298975,-13.156745,6.7167535,-10.195746,5.8194723,-3.2537644,blues
-155.22874,136.99503,-52.114655,22.862585,-23.124855,5.806341,-15.93752,14.604175,-5.4060173,0.6406045,-6.421188,2.1316779,-4.106362,blues
-317.36603,126.44497,1.9108002,29.426073,5.37819,14.992108,-4.9303203,11.340587,1.6253403,5.6582146,-3.5918438,-1.5646036,-5.6844187,blues
-223.75177,122.906624,-13.651981,65.064125,-3.2591717,14.790135,4.262138,0.98678553,-16.026245,8.480865,-5.9707284,1.9826207,5.2233458,blues
-213.08156,127.63643,11.784829,47.785793,3.2607234,20.97393,-3.8960211,9.93571,-20.391687,14.13319,-7.236591,0.7717349,-5.110223,blues
-299.94556,133.85555,12.83924,37.22416,19.407505,9.948534,7.4441257,0.8065166,-10.074592,7.3696756,2.4856021,-0.70994365,4.189104,blues
-258.7469,114.03052,-8.487819,51.696377,4.459962,21.954775,0.25747722,11.7752695,-22.237455,15.949798,-0.5184791,5.082742,-0.86772,blues
-233.88448,132.32625,-5.6368504,39.693707,5.3734627,20.861353,-6.8324704,8.2868,-16.250854,21.8277,3.2860367,6.2084327,-3.6222255,blues
-233.16736,134.34866,-2.1599355,66.35288,15.6985,11.948079,2.5168543,5.0078998,-12.374184,7.9285607,4.304426,-3.038013,2.292774,blues
-245.28767,103.777885,6.812119,53.879177,6.1868525,28.55292,-3.6139295,13.339477,-19.383595,21.229334,-3.9084675,2.781222,-6.5652275,blues
-283.16983,140.6656,6.7112527,54.97764,17.203836,15.914985,-0.9542194,-3.426138,-15.6343155,10.850864,-4.4940195,-0.25810552,-1.2531543,blues
-227.35077,129.39232,-0.74401826,42.13073,1.5984088,17.685934,-10.464666,10.042065,-21.381971,13.944677,-3.589346,5.5509286,-4.5496955,blues
-271.00775,132.39044,9.691632,52.864674,10.8416195,23.567577,3.9780035,3.8936794,-18.19616,17.121574,4.380918,1.3158201,-1.4871645,blues
-287.9868,154.79381,21.607944,43.33655,15.240808,26.842281,5.476537,8.053063,-11.356384,18.976912,4.2017856,1.4451348,-0.9970025,blues
-236.8298,152.35619,-3.1281693,66.53053,6.459127,17.53354,1.5921783,-2.6161008,-11.208785,-3.4043567,-5.9603047,-8.316839,-17.533354,blues
-219.87701,141.65065,-39.39664,65.51293,6.3440742,12.345106,2.2123463,4.6834283,-7.9416924,0.53760046,9.846444,-3.5352392,-3.2716868,blues
-245.49142,141.82083,-17.149166,77.32188,14.425251,15.468784,-0.66586137,6.470003,-4.829792,7.1568823,-4.670095,-1.5547974,-5.919676,blues
-321.93576,122.57387,3.8337538,63.983707,13.214839,23.359343,7.1416326,12.216233,1.4250876,8.604066,1.6314005,-7.4808173,-1.0560994,blues
-235.51114,142.57678,-16.08857,77.25468,-5.2549,12.491863,-3.3441315,1.4080904,-9.564442,-8.5128,-7.7215643,-1.3964864,-0.5150309,blues
-198.11882,151.46632,-41.432293,35.12605,13.487576,12.429323,1.1781756,6.267796,-12.0754385,-1.9322923,1.4721769,-2.8231878,-2.5015523,blues
-228.55782,100.599556,21.02549,22.398817,1.502401,25.18721,-25.04034,13.195687,-22.681562,5.650205,-28.32394,-8.456625,-5.4641705,blues
-231.05028,133.26971,12.871573,29.31671,-2.3726416,16.979696,-24.023062,18.229654,-22.719397,-1.8304887,-19.393373,-6.7868357,-14.820835,blues
-211.07507,99.479996,18.536846,31.899015,-1.3411837,26.234629,-30.228384,13.261074,-28.042824,-4.872815,-31.022081,-11.193756,-11.460119,blues
-257.97974,120.616066,21.0436,15.6592045,-7.447015,25.61333,-6.2178807,17.284874,-17.884953,2.396639,-13.225191,-1.850209,-10.472789,blues
-249.49472,113.47762,39.584602,33.155117,-2.2738216,27.155867,-14.578485,14.049499,-22.646751,-2.2625754,-23.714186,-10.968624,-19.72812,blues
-228.17296,105.99009,14.626168,24.01012,-2.4687672,31.25624,-16.267918,17.768446,-25.406301,10.644807,-17.350697,-11.1598625,-17.20395,blues
-168.47131,114.66442,16.77738,20.1014,-11.069483,28.183775,-29.557884,17.325949,-27.361538,1.4686491,-20.801807,-3.6766188,-18.004755,blues
-211.9967,115.65018,22.172073,29.686506,0.69012904,26.290052,-15.167254,12.757061,-25.114225,-7.4553266,-24.901072,-10.252684,-14.696538,blues
-374.20428,101.39528,19.795254,24.1429,6.6331234,20.08464,-2.2811756,11.78066,-6.6098275,-2.1184416,-10.069462,-7.7291226,-6.4113193,blues
-169.2921,118.42163,21.29031,23.311306,-1.6079466,23.979176,-25.770365,21.365543,-21.681658,7.6374555,-23.681387,-6.2967305,-19.8233,blues
-332.60052,131.65695,19.062834,11.034313,11.731728,19.432844,-10.827583,-6.8586845,-18.125216,-15.107537,-15.274343,-13.321416,-17.826015,blues
-100.21258,90.22936,-5.540521,72.128235,-15.390051,38.707188,-15.632314,20.66239,-17.500969,18.951174,-20.135557,6.918999,-7.478726,blues
-109.281204,90.19754,-6.232312,55.299286,-7.935377,40.995514,-4.7719626,25.852682,-20.568192,16.50698,-16.578438,13.483159,-2.6669846,blues
-146.36844,63.093204,-4.2320476,81.68945,1.0223813,44.244804,-11.379264,33.670383,-9.359624,7.973727,-26.10571,9.511524,-3.4093287,blues
-99.52755,101.85735,-12.678343,44.710644,-9.46605,36.448277,-7.721397,28.356834,-19.324953,13.975261,-22.829659,8.563455,-10.147138,blues
-121.63931,86.233284,1.1492707,70.222115,-11.171995,40.06241,-10.218734,25.100891,-15.800938,10.315088,-18.346146,14.328863,-5.476713,blues
-168.10046,89.64628,15.328881,81.03059,3.0832858,40.613632,-5.268104,28.640896,-13.824264,4.729719,-21.046228,6.825293,-4.028591,blues
-190.95247,90.32007,17.334183,67.90423,2.7602198,40.198406,-5.190448,26.447203,-13.466249,4.0885396,-16.049568,7.362577,-7.1454215,blues
-147.08575,95.304695,5.8715796,76.79908,-9.227959,36.026546,-9.58616,18.577587,-22.85236,-3.0834017,-23.101528,9.419466,-4.3645196,blues
-110.36918,102.547325,-19.077524,58.328144,-10.657304,36.01116,-13.764101,25.567198,-17.733406,19.491978,-17.087894,10.411669,-6.5590096,blues
-261.16602,116.198586,11.915966,68.81239,2.907398,40.490116,-10.324868,11.399165,-12.163007,-3.2701495,-25.513622,-3.07221,-5.0307965,blues
-96.76632,99.39243,-10.470284,59.540382,2.2383482,36.21783,-11.176611,18.512941,-16.52376,15.2884865,-13.448243,12.355514,-12.646343,blues
-61.32065,113.31587,-35.933334,68.356445,-4.3847423,17.770939,-15.338189,18.794693,-12.4821005,18.989927,-11.403393,8.64227,-16.571024,blues
-246.02802,110.26584,-14.145693,67.66223,10.3179455,21.050854,9.356025,9.238758,1.7934123,12.569812,0.7551895,2.5885968,-5.577648,blues
-82.963326,109.56621,-42.10182,54.702114,-10.460834,22.416334,-14.01529,20.976559,-11.945207,12.267476,-2.7967255,16.23497,-6.25906,blues
-55.977936,99.78589,-30.03262,66.659225,0.34824046,29.90476,-14.810298,21.897524,-14.3239565,18.2848,-7.6374083,16.118753,-13.304519,blues
-94.93052,100.05668,-40.160183,68.46124,-6.686236,16.403896,-3.7213557,16.608028,-10.640932,23.696167,-7.5928993,6.693531,-14.925431,blues
-188.10564,96.71335,1.8313473,56.50209,11.604634,32.02192,3.4518218,16.801323,-11.50981,17.299185,-6.6313214,3.644739,-8.102136,blues
-88.3208,108.52099,-34.58679,64.09083,7.9830585,26.607214,-18.396236,23.888094,-11.564241,14.175288,-7.0127044,8.069791,-14.131067,blues
-71.89161,92.43853,-23.433012,62.63763,-8.647759,27.57316,-20.422438,10.946382,-21.078825,18.57853,-8.803447,14.536813,-10.455426,blues
-98.04867,90.27745,-20.443325,72.3757,-4.8029776,20.96345,-2.0954323,17.472275,-12.513916,22.911226,-7.7310247,12.402485,-8.984548,blues
